Cas9_type,Score
SpCas9,85.0
SpCas9,85.0
SpCas9,82.0
SpCas9,80.0
SpCas9,76.0
SpCas9,71.0
SpCas9,67.0
SpCas9,64.0
SpCas9,64.0
SpCas9,60.0
SpCas9,60.0
SpCas9,38481.0
SpCas9,72662.0
SpCas9,25730.0
SpCas9,4125.0
eSpCas9,72662.0
eSpCas9,25730.0
eSpCas9,4125.0
VP12Cas9,114814.0
VP12Cas9,30.0
VP12Cas9,8.0
Alt-R HiFi Cas9,108526.0
Alt-R HiFi Cas9,31.0
Alt-R HiFi Cas9,5.0
SpCas9,1961.0
SpCas9,3488.0
SpCas9,208.0
SpCas9,49.0
SpCas9,38.0
SpCas9,2890.0
SpCas9,4789.0
SpCas9,2334.0
SpCas9,1998.0
SpCas9,1883.0
SpCas9,1764.0
SpCas9,1104.0
SpCas9,748.0
SpCas9,476.0
SpCas9,432.0
SpCas9,321.0
SpCas9,1615.0
SpCas9,702.0
SpCas9,322.0
SpCas9,245.0
SpCas9,194.0
SpCas9,720.0
SpCas9,796.0
SpCas9,353.0
SpCas9,181.0
SpCas9,144.0
SpCas9,123.0
SpCas9,122.0
SpCas9,124.0
SpCas9,174.0
SpCas9,1819.0
SpCas9,151.0
SpCas9,157.0
SpCas9,1074.0
SpCas9,137.0
SpCas9,123.0
SpCas9,109.0
SpCas9,77.0
SpCas9,148.0
SpCas9,878.0
SpCas9,127.0
SpCas9,265.0
SpCas9,188.0
SpCas9,70.0
SpCas9,51.0
SpCas9,44.0
SpCas9,82.0
SpCas9,64.0
SpCas9,65.0
SpCas9,141.0
SpCas9,93.0
SpCas9,60.0
SpCas9,35.0
SpCas9,6730.0
SpCas9,6459.0
SpCas9,4497.0
SpCas9,4113.0
SpCas9,3922.0
SpCas9,3477.0
SpCas9,3319.0
SpCas9,2845.0
SpCas9,2158.0
SpCas9,1469.0
SpCas9,1251.0
SpCas9,1212.0
SpCas9,987.0
SpCas9,1037.0
SpCas9,857.0
SpCas9,729.0
SpCas9,632.0
SpCas9,466.0
SpCas9,481.0
SpCas9,597.0
SpCas9,461.0
SpCas9,363.0
SpCas9,404.0
SpCas9,481.0
SpCas9,398.0
SpCas9,293.0
SpCas9,342.0
SpCas9,399.0
SpCas9,260.0
SpCas9,331.0
SpCas9,453.0
SpCas9,301.0
SpCas9,300.0
SpCas9,266.0
SpCas9,261.0
SpCas9,231.0
SpCas9,369.0
SpCas9,270.0
SpCas9,180.0
SpCas9,181.0
SpCas9,184.0
SpCas9,194.0
SpCas9,122.0
SpCas9,144.0
SpCas9,94.0
SpCas9,131.0
SpCas9,110.0
SpCas9,114.0
SpCas9,127.0
SpCas9,146.0
SpCas9,80.0
SpCas9,112.0
SpCas9,150.0
SpCas9,144.0
SpCas9,105.0
SpCas9,71.0
SpCas9,136.0
SpCas9,65.0
SpCas9,105.0
SpCas9,78.0
SpCas9,95.0
SpCas9,151.0
SpCas9,74.0
SpCas9,54.0
SpCas9,53.0
SpCas9,98.0
SpCas9,109.0
SpCas9,122.0
SpCas9,51.0
SpCas9,50.0
SpCas9,50.0
SpCas9,70.0
SpCas9,51.0
SpCas9,50.0
SpCas9,45.0
SpCas9,44.0
SpCas9,42.0
SpCas9,41.0
SpCas9,41.0
SpCas9,38.0
SpCas9,37.0
SpCas9,36.0
SpCas9,34.0
SpCas9,30.0
SpCas9,30.0
SpCas9,27.0
SpCas9,27.0
SpCas9,24.0
SpCas9,24.0
SpCas9,24.0
SpCas9,21.0
SpCas9,20.0
SpCas9,19.0
SpCas9,18.0
SpCas9,18.0
SpCas9,706.0
SpCas9,363.0
SpCas9,236.0
SpCas9,219.0
SpCas9,259.0
SpCas9,179.0
SpCas9,215.0
SpCas9,95.0
SpCas9,135.0
SpCas9,91.0
SpCas9,11340.0
SpCas9,5660.0
SpCas9,5748.0
SpCas9,4640.0
SpCas9,3605.0
SpCas9,3031.0
SpCas9,2647.0
SpCas9,2544.0
SpCas9,2307.0
SpCas9,1802.0
SpCas9,1608.0
SpCas9,2357.0
SpCas9,1357.0
SpCas9,1320.0
SpCas9,1320.0
SpCas9,6030.0
SpCas9,4518.0
SpCas9,2079.0
SpCas9,1098.0
SpCas9,2277.0
SpCas9,753.0
SpCas9,658.0
SpCas9,2204.0
SpCas9,1542.0
SpCas9,1119.0
SpCas9,2357.0
SpCas9,613.0
SpCas9,527.0
SpCas9,1232.0
SpCas9,449.0
SpCas9,439.0
SpCas9,473.0
SpCas9,406.0
SpCas9,632.0
SpCas9,515.0
SpCas9,698.0
SpCas9,950.0
SpCas9,2729.0
SpCas9,403.0
SpCas9,1835.0
SpCas9,274.0
SpCas9,286.0
SpCas9,596.0
SpCas9,471.0
SpCas9,601.0
SpCas9,350.0
SpCas9,177.0
SpCas9,168.0
SpCas9,558.0
SpCas9,156.0
SpCas9,217.0
SpCas9,2748.0
SpCas9,974.0
SpCas9,299.0
SpCas9,149.0
SpCas9,100.0
SpCas9,852.0
SpCas9,224.0
SpCas9,1266.0
SpCas9,677.0
SpCas9,188.0
SpCas9,174.0
SpCas9,156.0
SpCas9,126.0
SpCas9,1297.0
SpCas9,370.0
SpCas9,273.0
SpCas9,256.0
SpCas9,761.0
SpCas9,430.0
SpCas9,189.0
SpCas9,388.0
SpCas9,1710.0
SpCas9,111.0
SpCas9,2768.0
SpCas9,529.0
SpCas9,67.0
SpCas9,60.0
SpCas9,293.0
SpCas9,1184.0
SpCas9,113.0
SpCas9,1633.0
SpCas9,17135.0
SpCas9,54.0
SaCas9,630.0
SaCas9,401.0
SaCas9,377.0
SaCas9,363.0
SaCas9,275.0
SaCas9,224.0
SaCas9,185.0
SaCas9,108.0
SaCas9,81.0
SaCas9,72.0
SaCas9,47.0
SaCas9,37.0
SaCas9,15.0
SaCas9,8.0
SaCas9,4.0
SaCas9,4.0
SaCas9,4.0
SaCas9,3.0
